,l,r,des
101,15000,25000,工作职责： 1.运用数据挖掘/机器学习的理论和方法，开发，设计机器学习数据挖掘算法应用于通信运营商的市场大数据分析与客户服务分析，应用于物联网和政企大数据领域。2.对于数据分析和数据挖掘技术有较全面深入的理解，能够对客户或团队成员形成知识转移；3.撰写技术文档并参与数据挖掘/机器学习系统的架构设计和开发；4.指导团队初级人员工作，积极分享知识，促进团队的进步和发展。任职资格： 1.本科及以上学历，计算机、数学专业和统计分析专业优先2.具有扎实的编程能力，精通一门或多门语言 (python/r/scala等)，精通常用算法和数据结构；3.了解前沿技术，熟悉主流机器学习、数据挖掘或nlp模型算法并有实战经验，如分类/聚类/回归/时间序列/文本挖掘/深度学习等；4.优秀的沟通表达能力，踏实和坚持不懈的工作态度
105,15000,25000,岗位职责1、参与图像分析项目的可行性分析、技术可行性分析和需求分析；2、负责或参与图像处理核心算法的研究、设计、优化、改进及代码实现；3、负责系统的详细设计工作（按项目具体要求，承担软件的设计与开发）；4、负责系统的编码实现（三维重构产品规划、功能定义）；5、负责基于深度相机的三维图像算法开发和优化。6、协助上级完成项目。任职资格1、专科及以上学历，数学、计算机、图像处理相关专业，有人力识别、虹膜工作经验者优先。2、具备扎实的算法和数据结构基础、较强的逻辑思维能力；3、具有一定的编程能力，精通c++、对opencv、pcl、openni的功能有开发经验者优先。4、具有双目、kinect/prime/sense/opencl/cuda开发经验优先，熟悉立体视觉立体视觉算法优先。5、掌握立体视觉算法、对点云降噪、配准、拼接、结合有关基础知识。
106,15000,25000,"岗位职责：基于slam的机器人自主定位和导航系统开发要求：1、211大学硕士及以上学历,1年以上工作经验；2、计算机、自动化等相关专业毕业；3、精通c++，熟悉数据结构和算法基础；4、熟悉（激光、单目、双目）结合惯性测量的机器人导航技术；5、熟悉slam机器人开发和运行的软硬件环境。"
107,15000,25000,岗位职责：负责图像目标检测相关的深度学习算法的研究和实现。任职要求：1、本科及以上学历，模式识别/数学/计算机/信息类相关专业；2、熟悉深度学习理论以及常用深度网络模型，具有深度学习实战经验，熟悉常用深度学习框架（如caffe，tensorflow，mxnet或torch等）；3、对计算机视觉、物体检测、图像识别的至少一个领域有深入了解，1-3年相关的工作经验；4、熟练掌握c/c++、python等编程语言，有linux开发经验；5、有深度学习相关的实际产品开发经验者优先；6、具备良好的沟通表达能力和团队合作意识。
108,15000,25000,"岗位职责：负责图像处理、视频分析及目标识别算法的研发及性能优化工作；负责无人机视觉算法设计与实现。？岗位要求：1、计算机，电子，自动化等相关专业本科以上毕业，2年以上相关工作经验；2、掌握图像处理与模式识别的知识，能够根据应用环境选择和设计相关算法；3、熟悉c/c++语言，掌握opencv库的使用，有视频目标跟踪与识别项目实际开发经验；4、熟练使用matlab以及c/c++, 熟悉linux平台开发，有gpu开发经验；5、有过三维重建、slam或目标跟踪/检测等相关项目经历优先。"
111,15000,25000,岗位职责:1.包含但不限于海量文本内容非结构化文本数据、数据挖掘、信息抽取、知识图谱、语义理解、意图识别、自动文本聚类和情感分析等；2.结合自然语言处理技术，负责与产品、开发一同将各种算法进行产品化；3.负责相关新技术和发展方向的跟踪研究；任职要求：1.计算语言学、数学、模式识别等相关专业研究生和优秀的本科生；2.具备良好的数学和统计学基础，熟练掌握常见数据挖掘的算法；3.具有实际自然语言处理工程项目经验（如检索系统，推荐系统，人机对话，舆情分析，机器翻译等）；4.熟练掌握相关的开发工具和程序设计语言，具有较强的软件工程经验和良好的程序设计习惯，熟悉python语言优先考虑；5.熟练使用机器学习等常用工具如tensorflow、scikit-learn等，熟悉nlp领域一些开源的算法库或工具，如：nltk， word2vec，fasttext；6.内驱力和主动性强，能够独挡一面，有较强的学习研究精神、独立分析问题和解决问题的能力；
112,15000,25000,岗位职责：1. 基于spark、hadoop等大数据平台的建设、开发、维护与优化； 2. 协助对业务数据进行分析、建模，为业务部门的数据化运营提供支持；3. .依据业务需求，进行数据产品的规划和设计开发，为数据分析和运营等人员搭建友好高效的数据产品；4. 负责大数据实施过程中相关技术问题解决； 5. 完成与工作相关的技术文档编写工作。 任职要求：1.  2年以上大数据或数据仓库项目经验，5年以上java开发经验 2. 具备hadoop/hive/hbase/kylin/spark等大规模数据处理框架的部署、开发以及调试经验；3. 熟悉hadoop 以及 hadoop 生态圈上的各种应用两种以上，如 hbase 、 hive 、 spark 、 storm； 4. 熟悉java/scala/python/shell 至少两种，有 mysql 、 nosql 相关开发经验； 5. 熟悉hadoop/spark生态系统组件； 6. 对业务有敏锐的洞察力，有较强的业务理解与分析能力； 7. 具备良好的团队合作精神，有较好的沟通交流能力，善于主动思考和行动，乐于解决具有挑战性的问题； 8. 最好有财税、金融、互联网等行业从业背景。 9. 具有海量数据处理、优化经验，有大型大数据成熟项目经验的优先考虑。
114,15000,25000,岗位职责：1、运用各种算法进行数据分析建模和挖掘、深挖用户行为特征；2、协助或主导完成人力资源行业岗位预测模型、智能优选模型、离职预测、职业归划等模型的建立；3、基于整个人力资源行业业务数据，进行数据挖掘、分析、监测，定位业务发展的问题，挖掘业务发展潜力；4、对数据分析行业新技术、新理念进行跟踪，结合公司实际情况开发大数据模型等。任职资格：1、数学、统计学本科以上学历，硕士学历优先考虑；2、3年以上人力资源或互联网行业数据分析和数据挖掘工作经验；3、熟悉分类、聚类、回归、决策树、神经网络、svm等机器学习算法，具有丰富的算法模型应用经验；4、能独立使用一种数据挖掘统计软件：spark-r/sql/python等；熟练操作sql matlib工具的优先考虑；5、对数据驱动业务有
116,15000,25000,岗位职责：1、算法开发：进行相关产品算法模型设计，研究现有算法或开发新算法模型；2、数据分析：对海量数据进行挖掘，并编码实现，与软件合作开发新产品；3、文档编写：负责算法开发文档编写。任职要求：    1、本科以上学历，计算机、数学等专业优先；2、三年以上工作经验，良好的逻辑思维能力，能够发现关键数据，核心的特征，从数据中找到优化算法的方法；3、熟悉基本的机器学习算法，如回归，决策树，svm，adaboost，基本的概率图模型等；4、擅长c/c++，会python，java等编程语言优先 。
117,15000,25000,"岗位职责：1、利用大规模机器学习技术实现非结构化数据的提取分析，以及风控模型的调优；2、利用机器学习算法对客户进行全生命流程分析，包括购房意愿评估，贷款行为评估，逾期预测等。任职要求：1、3年以上开发经验，2年以上python开发经验（精通），熟悉tensorflow, caffe等ai开源架构；2、熟悉mysql，oracle等常用关系数据库；3、熟悉gan（cnn）， lstm，seq2seq主流深度学习算法之一；4、良好的沟能力和文字语言表达能力，独立思考能力，较强的逻辑分析归纳能力；5、具有以下技能优先：互联网金融产品项目开发经验；分布式系统开发经验；熟悉opencv，图像处理，模式识别相关专业背景。"
121,15000,25000,岗位职责：1、负责项目图像处理新算法开发、分析、测试，现有算法优化工作；2、图形图像算法代码优化重构、效率优化工作、代码移植；3、协助完成相关知识产权布局。任职要求：1、本科5年以上工作经验，博士经验不限；2、具备数字图像处理算法开发以及c/c++，matlab编程及数字图像分析处理经验，有opencv、halcon、mil等图像处理软件包应用经验；3、具有实时图像采集处理、图像替代经验；4、扎实的数学基础，熟悉常用数字图像处理算法，机器学习算法和模式识别算法；5、优秀的英语文献阅读能力，能够通过阅读英文文献实现代码编写；6、严谨踏实，有工作激情，有团队精神，具有钻研精神，能承受较大工作压力，结果导向。
122,15000,25000,岗位职责：1、负责数据平台的业务需求分析，数据整理，分析策略选型、数据模型建立及算法设计等工作2、负责数据模型等数据产品的策略分析和报告；3、通过数据分析工作，发现数据内在规律和关联关系，对数据异常进行预警、根据数据趋势和关联关系进行决策4、负责内部风控数据建模，设计评级打分机制，并与业务、产品部门沟通，将模型应用于实处；5、对风控数据范围、质量提出有效需求，制定并改进风控数据相关流程、制度，跟进数据获取、利用等环节； 6、构建对外风控产品，促进数据价值最大化。 任职要求：1、3年风控策略、数据建模、数据分析经验，优先吸纳有互联网广告、电商平台经验者； 2、全日制统招本科及以上学历，金融学、数学、统计学、金融工程、计算机等相关专业背景优先考虑；3、对风险管控理念有丰富的认知，具有扎实的统计学知识及数据分析挖掘能力；4、良好的口头和书面表达能力，能够利用ppt等工具编写严谨、美观的方案，清晰呈现思路；5、对数据敏感，主动学习探索，善于发现问题并沟通解决。
123,15000,25000,岗位职责：1、负责深度学习领域等相关领域研究和开发工作； 2、负责深度学习框架搭建； 3、负责图像处理算法和系统研发；岗位要求： 1、计算机或者模式识别专业等相关专业； 2、掌握机器学习深度学习等相关知识，有该领域算法的研究或开发经验； 3、熟悉深度神经网络和常用的模型； 4、对常用的开源实现如caffe，tensorflow等有实践经验，并能够灵活的解决实际问题； 5、熟悉深度学习的一般应用，如图像识别； 6、有一定的英文阅读能力和书写能力；能够跟踪学术界和工业界的最新研究成果； 7、对技术有热情，愿意挑战新的算法和新的领域，敢于超越技术极限，致力于研发一流的技术。
130,15000,25000,岗位职责：？？1. 视觉算法的架构、验证和编写；？？2. 与.net工程师一起定义视觉算法的对外接口；？？3. 按公司要求的项目内容、时间、质量完成算法研发任务；？？4. 职位需要短期出差。？？任职要求：？？1. 计算机或自动化相关学科本科及以上学历，3年以上实际工作经验；？？2. 3年以上c++开发经验，扎实的面向对象编程思想和良好的编码习惯；？？3. 有opencl开发经验；？？4. 有深度学习/svm 的应用经验。
134,15000,25000,岗位职责：   1  视频或者音频算法的预研以及实现；      任职条件：   1  电子工程，计算机或者是应用数学专业本科毕业及以上；   2  有从事过图像和视频算法工作优先考虑；   3  有一定的数学建模能力以及信号处理理论基础；4  熟悉opencv的优先考虑
135,15000,25000,"岗位要求：1.硕士及以上学历，数学，计算机，机电等相关专业2.2年以上指纹识别算法工作经验3.数学基础扎实4.精通c,c++,有arm 或 linux开发经验者优先岗位职责：1. 开发指纹识别算法，包括图像预处理，特征提取，特征对比等2. 负责指纹识别算法相关产品的开发，调试及优化3. 根据业界动态及产品需求，不断更新，优化及完善算法"
136,15000,25000,岗位要求：1、负责现有大数据基础平台（离线、实时）的持续开发、规划升级和性能调优2、深入了解公司业务，并帮助业务方合理、正确使用平台计算和存储资源，快速响应其提出的相关业务需求3、进行技术难题攻关和技术方向预研，规划如何利用大数据为公司新零售战略赋能4、参与构建公司的大规模机器学习平台、流式计算平台和olap分析平台，为数据业务方提供一站式工具链支撑5、利用自身优势，不断为团队注入新活力，帮助新人成长，进一步提升团队战斗力. 任职要求：1、三年以上大数据相关工作经验，有良好的java/python/scala开发基础和一定的web前端开发能力2、精通hadoop大数据相关技术，包括但不限于hdfs/yarn/hive/spark/impala/kudu/kafka/hbase/flink等3、熟悉分布式相关算法和理论，具有大规模分布式系统架构经验或实现案例4、有饱满的工作热情，良好的团队协作意识，时刻对新技术保持好奇心，紧跟技术发展前沿，对开源社区有所贡献者优先
143,15000,25000,1.图像处理、特征提取及分析。2.图像处理相关专业；3.掌握图像处理相关工具；4.基于图像的特征识别与分析比对；5.熟练掌握与其他分析模块的衔接；任职要求：1.计算机、信号与信息工程等相关专业统招硕士及以上学历。2.熟悉simpack/ansys。
145,15000,25000,"1.教育水平1.1大学本科及以上；1.2计算机、统计学、数学等相关专业。2.经验技能2.1拥有五年以上it行业经验；2.2五年以上java开发经验，具有大型分布式应用系统分析、架构设计、开发经验；2.3在可扩展、高性能，高并发，高稳定性系统设计、开发和调优方面有实际经验；2.4具有深厚的数学、统计学和计算机相关知识，精通数据仓库和数据挖掘的相关技术；2.5熟悉spark/shark、hadoop/hive、storm、mahout、r等大数据相关技术；2.6熟悉云计算平台(iaas/paas/saas)、大数据(hadoop/spark等)、移动互联网、物联网等技术架构和发展趋势。3.岗位职责3.1规划及建设大数据平台,规划数据仓库架构，研究领域新技术方向并实施,根据数据仓库的理念，搭建数据模型；3.2负责大数据存储系统、分布式计算系统、挖掘算法等设计、研发以及维护、优化工作；3.3负责分析、挖掘、对抗各种产品安全层面的恶意行为；3.4带领团队攻克高并发、高稳定性，复杂业务模型等带来的各种挑战及技术难关；3.5参与项目的系统设计和核心代码开发，指导和培训其他工程师；3.6整理和提交技术文档，负责核心功能模块的代码编写和测试工作。4.能力素质4.1具备较强的规划和统筹能力，有较强的执行能力、学习能力、沟通能力、适应能力，责任心强；4.2具备极强的技术把握能力与前瞻性，优秀的分析和解决问题的能力 ；4.3具有很强的技术研发和创新能力，能有效把握技术发展方向，对挑战性问题充满激情；4.4具有海量数据处理、数据挖掘、数据分析相关项目的工作经验者优先；4.5对商业和业务逻辑敏感，具备良好的逻辑分析能力、组织沟通能力和团队精神。"
148,15000,25000,"1. 计算机、图像处理、模式识别与智能系统、信号与信息处理、数学等相关专业本科及以上学历；2. 有3年以上图像处理项目和开发经验；3. 熟悉c/c++或者python语言，对数据结构和算法设计有较为深刻的理解；4. 熟悉掌握机器学习、模式识别、自然语言处理、语音识别等常用算法及实际工程应用经验者优先；5. 具有较强的逻辑思维能力; 热爱算法,能够独立完成指定模块的开发设计；掌握和精通国内外主流深度学习框架者优先；6. 有相关语音识别，人脸检测与识别、特征提取、运动跟踪，算法优化，gpu优化等验者优先。7. 具有行为分析或视频摘要检索算法开发经验者优先；具有车牌识别或人脸识别算法开发经验者优先；有cnn、rnn、lstm等相关方面经验者优先。8. 熟悉matlab、opencv、caffe、tensorflow等, 有相关项目工作经验者优先考虑；9. 正直和诚信、具有团队合作精神、富有责任心、积极上进、头脑灵活、勇于创新；10. 能积极主动的完成职责内的工作。有强烈的团体参与感与责任感，能积极主动参与新方向探讨与建设，能与团队公司一起成长。"
149,15000,25000,1. 跟进人工智能技术发展前沿，定期形成算法研究报告；2. 根据产品研发实际需要，在图像及视频领域负责相关的数学模型建立，以及模型的多次迭代输出和实现；3. 对图像数据预处理、统计分析、数据增扩等方向进行深入分析；4. 建立算法测试条件、确定评估指标、实现并完善自动化评估环境；5. 协助开发人员实现产品从模型、算法到系统的转变；6. 推进人工智能技术的在前瞻性项目上的应用；任职要求：1. 全日制硕士及以上学历，博士优先，计算机、通信、数学、统计等相关专业；2. 对工作充满热情，积极向上，对人工智能领域有浓厚兴趣，能够主动跟踪最新的人工智能技术；3. 结合产品研发需求，独立展开算法研究的能力；4. 优秀的数学功底（线性代数、概率），具有较强的数理统计分析能力；5. 对 图像分类、目标检测、目标识别、目标跟踪、图像语义分割、图像检索中一项或者多项有深入理解；6. 掌握人工智能、机器学习、神经网络等研究方向基础知识；7. 掌握至少一门计算机开发语言（c/c++、java、python等）8. 良好的学习和研究能力，能够独立阅读英文文献；9. 具有团队协作能力和独立完成任务能力，愿意挑战新的领域；10. 在以下领域发表sci论文或者有实际开发经验者为佳：计算机视觉、图像处理、神经网络等；11. 熟悉linux操作系统、熟练掌握shell、python、matlab编程语言者为佳；12. 熟悉caffe2、pytorch、tensorflow、mxnet等一种或多种神经网络计算框架者为佳；                                                                                13. 有kaggle、kitti或者其他类似比赛的竞赛经验者为佳
151,15000,25000,1.  跟进人工智能技术发展前沿，负责深度学习相关算法在嵌入式平台上的移植；2.  建立算法测试条件、确定评估指标、实现并完善自动化评估环境；3.  根据产品开发需求进行算法选择及设计，并对算法进行快速实现和评估，解决实际业务问题；任职要求：1.          全日制本科及以上学历，计算机、通信、数学、统计等相关专业；2.          对工作充满热情，积极向上，对人工智能领域有浓厚兴趣，愿意主动跟踪最新的人工智能技术；3. 良好的数学功底（线性代数、概率），具有较强的数理统计分析能力；4. 对图像分类、目标检测、目标识别、目标跟踪、图像语义分割、图像检索中一项或者多项有深入理解；5. 掌握人工智能、机器学习、神经网络等方向基础知识；6. 熟练掌握至少一门计算机开发语言（c/c++、java、python等）；7. 熟练掌握至少一种深度学习计算框架（caffe、pytorch、tensorflow、mxnet等）；8. 良好的学习和研究能力，能够独立阅读英文文献；9. 具有团队协作能力和独立完成任务能力，愿意挑战新的领域；10. 有嵌入式软件开发经验（arm、fpga等）者为佳；11. 熟悉linux操作系统、熟练掌握shell、python、matlab编程语言者为佳；12. 在以下领域发表论文或者有实际开发经验为佳：计算机视觉、图像处理、神经网络等；13. 熟悉神经网络、卷积网络等模型的训练、优化和超参数调整者为佳；                                                                            14. 有kaggle、kitti或者其他类似比赛的竞赛经验者为佳；
154,15000,25000,1、神经网络系统的训练，压缩，优化，移植，撰写技术专利或论文；2、优化识别引擎、提高识别效率及成功率；3、参与到图像算法的实际落地，与相关人员沟通协作，共同完成产品开发；4、业内与学术界最新算法跟踪，实现，改进。任职要求：1、本科及以上学历、有图像处理、机器学习、深度学习等相关领域的知识；2、熟练使用python、matlab等，有一定c/c++开发经验，有cuda开发经验者更佳；3、目标检测、图像分类等领域工作经验。有人脸检测、识别相关项目经验更佳；4、熟悉深度学习相关理论和框架（tensorflow、caffe、mxnet、pytorch等）；加分项：1.研究方向为深度学习+计算机视觉，发表过相关论文，有cvpr、eccv、iccv、nips等***国际会议论文者优先；2.有在国内外***科研机构做过博后者优先；                            3.在计算机视觉领域有实际项目经验（产品落地、竞赛获奖、开源项目）并产生广泛影响；
157,15000,25000,1、具备图像处理及机器视觉的理论基础和算法知识，熟悉opencv或其它图像处理库；2、负责公司在研项目算法设计、实现、验证及优化3、跟踪国内外最新图像处理算法发展方向和相应技术任职要求：1、精通图像处理，熟悉图像特征检测、目标分类、目标跟踪等算法2、精通c/c++，具有较强编程能力，熟悉opencv、matlab等图像处理库3、有字符识别、车牌识别等相关开发经验者优先4、具有良好的沟通表达能力和团队合作意识
158,15000,25000,1、计算机相关专业本科以上学历，有两年或以上图像处理、机器视觉相关的开发工作经验；2、熟悉计算机视觉和计算机图像处理，熟练掌握opencv和opengl等开源库；3、至少熟悉两类计算机视觉类或人机交互软件相关产品的研发工作；4、有项目经验；5、具备良好的英语读写能力；6、具有良好的团队合作精神；善于沟通协调；具有创新意识和开拓精神。
160,15000,25000,1、负责图像识别(包括人脸、ocr、物体识别等等）或其他视觉算法研究？；2、负责算法的优化及产品化。岗位要求：？1、熟悉？c/c++(windowsnux平台下)、python或者matlab；？2、有较强的数学功底，对图像处理/模式识别/统计学习至少之一的基础理论熟悉；？3、良好的编码风格，沟通能力和团队合作精神，有责任感；4、有实际项目开发经验，有算法研究或者算法/代码优化背景经验，优先考虑；5、熟悉caffe/tensorflow等深度学习工具平台之一的优先考虑；6、欢迎数学系、物理系等热爱ai，并有较强实操能力的同学投递。
162,15000,25000,"1、负责计算机视觉的算法研究和技术开发；2、主要面向手机智能拍照，包括人脸识别、智能美颜、场景识别、目标检测、图像分割、运动跟踪、三维重建、增强现实等；3、负责支持计算视觉算法的产品化工作，包括算法的对比评测、性能调优、bug分析等；4、负责撰写专利，保护公司相关知识产权。任职资格:1、研究生以上学历，硕士要求5年以上计算机视觉相关工作经验；2、熟悉检测、跟踪、识别、相机标定、图像增强等常见的视觉处理任务，在相关领域发表过论文或取得专利授权者优先；3、有人脸识别及活体检测或者智能拍照等相关项目经验者优先；4、熟练掌握c/c++/python语言, 要求至少熟悉一种深度学习框架；5、扎实的数学基础，英语读写能力较好，能快速查阅学术论文、专利等文献；6、工作态度认真负责,有良好的沟通能力与合作精神。"
164,15000,25000,"1、负责对数据进行深度分析和挖掘；2、利用算法模型解决数据应用需求；3、了解行业状况和变化趋势，高效的进行数据处理。 学历：本科及以上学历；专业：统计学、应用数学、计算机等相关专业工作经验1、2年以上大数据分析或算法设计经验。2、有较强的算法基础和建模能力，熟悉经典的机器学习算法。3、有丰富数据分析、数据挖掘和建模的经验，有良好的数据分析意识和产品意识。4、精通c++,java,r,python,matlab中的一种或几种语言，有较强的动手能力，能独立实现自己的算法思路。5、有地图数据处理工作经验优先考虑。素质（工作态度）1、较高的技术热情。2、良好的沟通能力，积极主动，有亲和力，具有耐心及责任心。                                                        3、为人正直，忠诚守信，具有团队合作精神。"
167,15000,25000,?岗位职责：1、负责大数据建模和分析、主题分析和数据可视化方案制定；2、精通：深度挖掘/神经网络 or 图论/复杂网络理论 or 文本挖掘/地址模糊匹配 or 图象比对 or 声纹比对，其中之一；3、针对数据维稳、舆情特定领域、不同业务主题开展探索性分析建模和数据挖掘；4、挖掘各种来源的数据，应用于用户画像和群体融合分析；5、负责数据整合与分析模型的建立、优化以及跟进；6、跟踪最新的数据分析、数据挖掘领域的技术和成果。招聘要求：1、本科及以上学历，数学、统计学、计算机及相关专业，3年以上数据采集、清洗整理、分析建模相关工作经验；2、有优秀的洞察力，能从纷繁复杂的数据中发掘规律并构建模型，掌握各类算法，具备优秀的大数据建模功底；3、具有扎实的的数学、统计学、数理建模知识，熟悉数据仓库和数据挖掘的相关技术及方法，熟悉数据可视化相关理论；4、熟练使用r、spss工具进行分析和建模，熟悉mysql/oracle；5、具备良好的编程基础，精通java/c++/python/r/matlab任一语言；6、有大数据并行处理经验，能使用hadoop/hive分析海量数据，熟悉storm/spark者更佳。
91,15000,23000,职位描述：1、参与大数据团队ai项目的建设；2、参与大数据团队bi项目开发，如获客、精准营销、风险控制、个性化推荐、mgm等，为业务团队寻找商机；3、建立健全开发流程和相关文档制定，并归档和保管。任职要求：1、计算机、数学、统计学、金融相关专业本科或以上学历，2年以上相关工作经验；2、精通python语言，有扎实的编码能力与算法基础；3、熟悉hadoop、oracle等数据库，熟练sql语言；4、在智能投顾大数据ai领域有相关工作经验优先；5、熟悉大数据行业业务知识优先；6、有建模经验优先。该岗位在公司本部，不是外派岗位。
128,15000,23000,"岗位职责：1、 负责理解机器学习的算法及其适用场景，根据普惠情况，研究适合的算法模型，并对模型进行持续调优；2、 参与客户画像建模和数据挖掘工作，深入客户关系网、客户行为数据、特征挖掘、用户体系的建设；3、 参与研究个性化推荐算法；                                              4、 建立健全开发流程和相关技术文档的制定，归档和保管职责。任职要求：1、？？计算机、数学、统计学相关专业级本科及以上学历2、？？熟悉常用的机器学习算法，数据挖掘基本概念，有实际的算法应用经验；如分类、聚类、关联挖掘、推荐等。3、了解hadoop、spark、hive，有大数据分析经验者优先;4、在人群画像、推荐、风险分析、反欺诈等领域有经验者优先5、熟练使用python编程语言（numpy,？pandas,？scikit-learn,？gensim等）。6、熟悉pyspark、sas可加分。"
109,15000,22000,"岗位职责：1.根据业务需求，对业务专题进行多维度统计分析；2.理解业务数据，参与设计风控指标体系，对用户进行风险画像，建立风控评估模型；3.基于对数据的理解和客户的需求，参与业务建模及优化分析，支撑业务风控需求；4.参与信贷模型体系建设，完善信贷风控产品及优化分析。任职要求；1.本科及以上学历，具备扎实的统计学，数据挖掘，机器学习理论基础，在大数据领域有2年或以上的相关工作经验；2.熟悉常见的聚类、分类、回归等机器学习算法，关系网络算法等，但不限于决策树、逻辑回归、svm、rf、gbdt等算法；3.熟练掌握r/sas/spss等至少一种数据挖掘工具，熟练使用r、python等一种语言进行统计分析与建模训练；4.有银行信贷建模经验或消费金融风控建模经验者优先；5.有良好的团队合作意识, 积极主动的工作态度，快速学习能力和较好的沟通表达能力。"
89,15000,20000,"职位描述：岗位职责：1、负责nlp自然语言处理相关核心技术设计与开发；2、基于机器学习,并结合现有的自然语言处理技术，研发智能聊天机器人等的解决方案;3、基于对话上下文的spoken text的用户意图理解；4、自动问答等系统核心模块的建模和研发。任职要求：1、计算机、机器学习、模式识别和自然语言处理等相关专业本科及以上学历，硕士优先；2、熟悉自然语言处理、文本挖掘、机器学习、机器翻译、模式识别等的相关算法相关工作经验或者实验室经验；3、精通分词、词性标注、实体识别、主题建模等算法，能根据短文本、弱标注和类别多等特点独立完成算法的修改和优化；4、精通maxent、crf、svm等经典机器学习算法和工具，熟悉词向量、cnn、rnn和lstm等深度学习应用于自然语言处理的经验；5、有自动问答系统或对话系统研发经验;6、良好的算法基础，熟悉c/c++、java或python，熟悉ltp、tensorflow、pytorch、mxnet等工具包；7、具有较强的工程经验和项目落地经验。"
90,15000,20000,"职位描述：1.？ 运用数据挖掘和机器学习方法和技术，深入挖掘和分析影视行业大数据。2. ？高效实现各种数据模型，包括但不限于风控模型、客户画像、文本分析和商业预测等。3. ？对算法进行性能调优。4. ？将算法嵌入实际生产环境。？任职要求：1. 计算机/数学相关专业毕业，硕士以上学历；2. 大数据领域2年以上工作经验；熟练使用java、scala、python等语言。3. 熟悉python等常用数据挖掘相关工具包如 numpy,pandas,scikit-learn等4. 熟悉使用hadoop/hive/spark等大数据平台技术; 有大数据领域操作经验，了解hadoop，能够熟练使用pyspark、spark mllib、hive 等开源工具进行大数据分析挖掘；5.？有数据挖掘、机器学习大赛经历优先考虑。"
95,15000,20000,任职要求：1、计算机、自动化、数学等相关专业硕士及以上学位，有扎实的图像处理、计算机视觉、模式识别等专业基础知识和良好的数学功底；或本科学历，在图像处理相关领域工作3年以上，完成2个以上相关工程项目；2、精通python、c/c++、opencv等其中一种以上编程语言，具备相关算法实现能力，具有常用深度学习框架，如tensorflow、caffe、theano等之一项目应用者优先；3、具备机器视觉系统开发经验，有较强的工程项目实施能力、热爱技术研发者优先考虑；4、可适应短期出差。岗位职责：1、负责机器视觉检测系统的前期技术探索、方案制定、相关数据采集、分析及后续项目研发，系统集成；2、负责领域内新技术探索，解决项目开发或研发中的技术难题。
102,15000,20000,工作职责：    1、负责智能语音及语义应用系统产品的开发和维护；    2、 负责人工智能、 大数据分析核心效果展示系统的架构与实现；    3、 负责智能语音及语义核心效果优化相关的工具架构与实现；    4、能学习核心语音及语义技术效果优化，解决一般性效果问题；    5、负责相关开发文档、实施文档的编写工作。    任职要求：    1、本科及以上学历，计算机、通信、信息工程等相关专业，或对计算机有浓厚兴趣及特长的其他专业；    2、至少熟悉 c、 c++、 c#、 java、 php 等开发语言中的一种，熟悉数据结构及常见算法分析；    3、至少熟悉 oracle、 db10、 sql server、 mysql 等数据库中的一种。
104,15000,20000,岗位职责1.？？？？？？ 主要负责物体检测、识别、跟踪、分割、人脸识别、人体重识别、表情识别、手势识别、人体姿态识别等相关算法的研发和产品化；？岗位要求1.？？？？？？ 本科及以上学历，计算机、自动化、电子等相关专业或研究方向；2.？？？？？？ 具备较好的图像、计算机视觉和机器学习相关理论基础；3.？？？？？？ 熟悉常见物体和人体相关的检测、跟踪、识别、分割等算法；4.？？？？？？ 熟悉caffe/tensorflow/mxnet/torch /等深度学习框架；5.？？？？？？ 熟悉c++、python编程以及常见数据结构和算法；6.？？？？？？ 熟悉linux开发环境；7.？？？？？？ 具备较好的学习能力、问题解决能力；8.？？？？？？ 具备较好的英文阅读理解能力；9.？？？？？？ 有团队协作意识且沟通表达能力良好；10.？？？ 对智能移动机器人领域感兴趣，有激情，喜欢挑战等；11.？？？ 加分项： a)？？？？？？ 有实际产品开发经历；b)？？？？？？ 有neon/opencl/openmp/sse/cuda等计算性能优化相关经验；c)？？？？？？？ 有arm平台开发经验；d)？？？？？？ 熟悉ros开发；e)？？？？？？ 提供个人主页或github链接；
113,15000,20000,岗位职责：1. 负责个性化推荐/搜索、图像识别等相关算法开发2. 负责行业相关技术的预研3. 负责相关技术方案编写任职标准：1. 计算机、统计学、数学、计量经济学、金融学等相关专业，本科及以上学历，3年以上数据分析相关工作经验；2.  熟练掌握sql，有独立的数据探查能力;3.  至少熟练掌握一门开发语言(c/python/java/scala等)4. 曾经参与过比较完整的数据采集、清洗、整理、分析工作，有数据产品设计经验；5. 熟悉决策树、聚类、逻辑回归，关联分析、svm，贝叶斯等数据挖掘算法优先，有海量时间序列数据挖掘经验优先；6.   具有海量数据挖掘、搜索、推荐相关项目的工作经验者优先；7.   具备较强的规划和统筹能力，有较强的执行能力;
124,15000,20000,岗位职责：1、负责机器人智能算法的研究和开发2、机器视觉以及基于视觉的三维slam算法研究3、随时跟踪机器人智能领域的发展方向和趋势任职要求：（最好硕士研究生以上学历）1、机器视觉、数学、电子、通信或计算机等相关专业本科学历及以上2、熟悉c/c++ 、 matlab 或opencv，熟悉常用的图像处理算法3、具有扎实的数学功底，对机器人领域有浓厚的兴趣，在计算机视觉或机器人相关领域发表论文者优先4、熟悉c/c++、数据结构和面向对象编程，有过slam、目标跟踪/检测、移动机器人路径规划等相关项目经历优先5、从事算法研究工作3年以上，有从事机器人研究优先。
